title,review_idx,director,actors,content,other,director_score,actors_score,content_score,other_score
aliens,3,,,simplest|rather remarkable,,,,1.0,
aliens,4,,,not so dull|homogenized,,,,3.54,
aliens,5,,,finest|breathless,,,,,
aliens,6,,,more daring|intense|unrelenting|spectacular,,,,-0.5333333333333335,
aliens,7,,,greatest|faultlessly,,,,4.0,
aliens,8,,,astonishingly engaging|entertaining,,,,5.6,
aliens,9,,,simplified,,,,4.0,
aliens,10,,,smart,claustrophobic|foreboding,,,4.0,-5.5
aliens,11,,,exciting|well-made|great,most appealing,,,5.0,
aliens,12,,formidable,aggro,,,4.0,-4.8,
aliens,13,,merely terrific|pipsqueak,,,,0.25,,
aliens,14,,,,so rare,,,,5.2
aliens,15,,,rarest|comfortably|equal,,,,3.3333333333333335,
aliens,16,,,timeless|cathartic,,,,3.5,
aliens,17,,,white-knuckled|best,,,,4.0,
aliens,18,,,fun|brash|delicious,,,,-1.2,
aliens,19,,,excellent,,,,4.0,
aliens,20,,,high energy|as sophisticated,,,,,
aliens,21,,,subtle|spooky|subtlety-bashing,,,,0.0,
aliens,22,,,unrelentingly,,,,-2.4000000000000004,
aliens,23,,,great|effective,rare,,,4.5,4.0
aliens,24,,,spectacular|never overtly spectacular,,,,4.0,
aliens,25,,defiant|sensual,best,not Gothic|Fortunately,,-0.3999999999999999,4.0,3.4000000000000004
aliens,26,,,scariest|dirtiest|perversely funny,,,,-3.5,
aliens,27,,,more exciting,,,,,
aliens,28,,,best,,,,4.0,
aliens,29,,,outstanding,,,,4.0,
aliens,30,,,,,,,,
aliens,31,,,tautest|most provoking|altogether most draining,,,,-5.0,
aliens,32,,,greatest,short,,,5.0,-2.0
aliens,33,,,,,,,,
aliens,34,,,defining|stellar,,,,-0.3999999999999999,
aliens,35,,,fascinating,,,,5.0,
aliens,36,,,best|afraid,,,,-0.3999999999999999,
aliens,37,,,bigger|faster|scarier,,,,1.6666666666666667,
aliens,38,,,atmospheric,interesting,,,,-2.4000000000000004
aliens,39,considerably more nuanced|plot-driven,,,,,,,
aliens,40,,,,,,,,
aliens,41,,,better|scary|high-tech|superlative,,,,4.5,
aliens,42,,,exponentially bigger|scarier|memorably minimalist|eerily elegant,,,,-4.0,
aliens,43,muscular,,solid|exciting|intense|mere mechanical,,4.0,,0.8999999999999999,
aliens,44,,,clé,,,,,
aliens,45,,,truly great,,,,6.5,
aliens,46,,,this good,,,,,
aliens,47,,,,,,,,
aliens,48,interesting,,,,-2.4000000000000004,,,
aliens,49,,,,actually scary,,,,
aliens,50,,,,,,,,
aliens,51,,nurturing,,,,5.0,,
aliens,52,,,wild|woolly,anxious,,,4.5,-2.4
aliens,53,hauntingly,,,,-6.0,,,
aliens,54,,,classic,,,,1.0,
aliens,55,,,turbo-charged|wild|electric|best,,,,4.333333333333333,
aliens,56,,,,,,,,
aliens,57,,,most intense|satisfying,,,,2.0,
aliens,58,,,flaming|flashing|crashing|crackling|blow-'em-up|popping|basically conventional,better,,,-1.56,5.0
aliens,59,,,overlong|perfect,,,,1.0,
aliens,60,,,,,,,,
aliens,61,,,non-stop,,,,,
aliens,62,,,exciting,,,,,
aliens,63,,,extraordinary,,,,4.0,
aliens,64,,,perfectly|well crafted|damn exciting,,,,4.0,
aliens,65,,,,,,,,
aliens,66,,,ultimate|epic,,,,3.0,
aliens,67,,,,,,,,
aliens,68,,,,,,,,
aliens,69,,,Blockbuster|blistering|smart|gooey,,,,-0.5,
aliens,70,,,logical|effective|accomplished,,,,4.0,
aliens,71,,,instant,,,,,
aliens,72,tension-building|high-octane,,,,,,,
aliens,73,,,absolutely smashing,,,,-9.5,
aliens,74,,,,,,,,
aliens,75,ingenius|not a shock,,completely drained|exhausting|major flaw,,3.2,,-4.1,
all_about_eve,0,,,greatest,,,,5.0,
all_about_eve,1,superb,,,,4.0,,,
all_about_eve,2,,insolent|stormy|waspish|terrified|magnificent,very long|long,,,-2.2,5.0,
all_about_eve,3,bad|fun,real|most instinctive|assured,careful|mousy|dehydrated|good,,-0.5,1.2,-0.35,
all_about_eve,4,,,,,,,,
all_about_eve,5,,never better,,,,-4.0,,
all_about_eve,6,,,well capable|admirable|not lacking,,,,-3.2,
all_about_eve,7,,,adult|sophisticated,,,,0.3999999999999999,
all_about_eve,8,,,,,,,,
all_about_eve,9,,egotistical|over-articulate|emotionally undisciplined|credible|eccentric,very difficult|consummately,,,1.0,-7.5,
all_about_eve,10,,high-voltage,smart|shiny,crackling,,,2.5,-3.0
all_about_eve,11,,,breath-takingly sharp|tense|hardly vital,,,,-0.5,
all_about_eve,12,,ingratiating|hard|ruthless|dramatic best,,,,-2.8000000000000003,,
all_about_eve,13,,,best|even better,,,,4.0,
all_about_eve,14,,,sophisticated,,,,4.0,
all_about_eve,15,,,great|genuine,,,,4.0,
all_about_eve,16,,grandest,,,,4.0,,
all_about_eve,17,,,scintillating|stimulating|extraordinary,,,,3.5,
all_about_eve,18,,,vastly entertaining,,,,6.8,
all_about_eve,19,,,,,,,,
all_about_eve,20,,,special,,,,4.0,
all_about_eve,21,,,,unfortunately,,,,-3.5999999999999996
all_about_eve,22,,,so well|amusingly|enormous|flagrant|wicked,,,,1.475,
all_about_eve,23,,,most absorbing|fine,,,,3.0,
all_about_eve,24,,vivid|full-blown,consistently witty|biting,,,4.0,-6.0,
all_about_eve,25,,good,first-rate|happy,too infrequent|rare,,3.0,3.0,0.6000000000000001
all_about_eve,26,,,smartest,,,,4.0,
all_about_eve,27,,,witty|honest,,,,3.0,
all_about_eve,28,,,too great|generally sustained|high quality,,,,7.0,
all_about_eve,29,,noteworthy,natural,,,4.0,5.0,
all_about_eve,30,,,adult best,,,,,
all_about_eve,31,,,completely sophisticated|consistently scintillating,,,,6.4,
all_about_eve,32,,,very good,notable,,,4.5,4.0
all_about_eve,33,,,so good|largely artificial,,,,3.9000000000000004,
all_about_eve,34,,,,,,,,
all_about_eve,35,,,acridly cynical|somewhat unpleasant,highly influential,,,-3.2,5.6
all_about_eve,36,,finest|greatest,,,,5.0,,
all_about_eve,37,,,,rare,,,,4.0
all_about_eve,38,,,penetrating|scathing|bright|spiked,,,,0.0,
all_about_eve,39,,best|best,,,,4.0,,
all_about_eve,40,,,,,,,,
all_about_eve,41,,,absolutely no,,,,,
all_about_eve,42,,,smart|insighftul|darkly humorous|insatiable,,,,4.0,
all_about_eve,43,enduring,,,all-time favorite,3.0,,,
all_about_eve,44,,alluringly|dangerously|unknowable,,,,-4.466666666666667,,
all_about_eve,45,,,wise|witty|lusty|adult,,,,1.95,
all_about_eve,46,,,smartest,,,,4.0,
all_about_eve,47,so ingenious,,thoroughly entertaining,,5.2,,6.8,
all_about_eve,48,,favourite,,,,4.0,,
all_about_eve,49,,,greatest,,,,5.0,
all_about_eve,50,,,brilliant|clever|downright funny,,,,4.5,
all_about_eve,51,,,rich|impeccably written|gunshot sharp|aging|go-getter|heaping|carefully fostered|artisanal|bitchiness,,,,-2.8,
all_about_eve,52,,,sharply,,,,4.0,
all_about_eve,53,,wasn't enough|fantastically emotive,,,,5.1,,
all_about_eve,54,master|signal,,,,4.0,,,
all_about_eve,55,,,classic|sophisticated,,,,2.5,
all_about_eve,56,,,deliciously fun|quite introspective,,,,4.8,
all_about_eve,57,,fabulous,,,,3.0,,
all_about_eve,58,,,impervious,,,,-4.8,
all_about_eve,59,,,so good|eminently worth|satirical,,,,3.95,
all_about_eve,60,,,devastating|acid,,,,-6.6,
all_about_eve,61,,,more important|more entertaining,,,,,
all_about_eve,62,,,,,,,,
all_about_eve,63,,,,most seminal,,,,
all_about_eve,64,,,Classic|ambitious,,,,-1.1,
all_about_eve,65,,ideally,,,,4.0,,
all_about_eve,66,,,smart|smarting,,,,4.0,
all_about_eve,67,wonderfully literate,,classic,,4.8,,1.0,
all_about_eve,68,,,plush,,,,4.0,
all_about_eve,69,,,greatest,,,,5.0,
all_about_eve,70,,,peerless,rightly so,,,4.0,
all_about_eve,71,,superbly,restored|jet-black|elegant,real treat,,4.0,4.5,6.5
all_about_eve,72,,,,,,,,
all_about_eve,73,,,finest,,,,,
all_about_eve,74,,,low,,,,-4.0,
all_about_eve,75,,,old-school|most polished|literate|sophisticated,,,,4.0,
all_about_eve,76,,undoubtedly|scene-stealing|urbane,,,,-3.3,,
all_about_eve,77,,sharp,,,,4.0,,
all_about_eve,78,,,more quotable,,,,,
all_about_eve,79,,,stagy|elaborate|campy|bad,,,,-1.75,
all_about_eve,80,,mesmerizing,Intelligent,,,4.0,-3.2,
all_about_eve,81,only skin-deep,,hoped-for|tinny,,,,5.0,
all_about_eve,82,,Amazing,positive,,,-4.0,3.0,
all_about_eve,83,,,greatest,,,,5.0,
all_about_eve,84,,most memorable|declining,wittiest,deprived,,-7.199999999999999,4.0,-4.8
all_about_eve,85,,,memorveis,,,,,
all_about_eve,86,Outstanding,perfect,,,4.0,4.0,,
all_about_eve,87,so perfected,,,,5.2,,,
all_about_eve,88,,,fine|excellent|ultra-class|superior,,,,4.0,
all_about_eve,89,,,melodramatic,,,,4.0,
all_about_eve,90,,unforgettable,priceless,,,-2.4000000000000004,4.0,
all_about_eve,91,,towering|self-mocking,entertaining|relevant,,,4.0,4.0,
all_about_eve,92,,,Boffo|backstabbing,,,,4.0,
all_about_eve,93,,,best,,,,4.0,
all_about_eve,94,,,,,,,,
all_about_eve,95,,,gem|wickedly cynical,,,,-0.09999999999999964,
all_about_eve,96,,,,proudest,,,,
all_about_eve,97,,,,sad,,,,-4.0
all_about_eve,98,,,so crisp|poisonous,,,,5.2,
all_about_eve,99,,glory,,,,5.0,,
all_about_eve,100,,stylishly|uniformly expert,most biting|hard-boiled|breakneck,,,4.0,5.0,
all_about_eve,101,,,dated|fresh,,,,4.0,
all_about_eve,102,,,nice|rare,,,,3.5,
all_about_eve,103,,,realistic|dramatic|devastating,,,,0.2666666666666669,
all_about_eve,104,,,completely differently,,,,-8.0,
all_about_eve,105,,greatest,,,,5.0,,
all_about_eve,106,,,smart|cynical|more fun,,,,0.5,
lost_horizon,0,,,,,,,,
lost_horizon,1,,first-rate,most disastrous,,,,,
lost_horizon,2,,,critical,,,,-6.0,
lost_horizon,3,,,so slight|most incompetent|clumsy,,,,-5.4,
lost_horizon,4,,,hardly accidental|lost|pleasant,,,,0.7,
lost_horizon,5,,,dull|forgettable,,,,-3.0,
screamers,0,,,odd|powerful,,,,0.0,
screamers,1,,,mad|right,,,,-3.5,
screamers,2,,,noble,,,,1.0,
screamers,3,,,damning,highly civilized|highly uncivilized,,,-4.0,-0.6999999999999993
screamers,4,,,not didactic,,,,-3.2,
screamers,5,,,wide-awake|high-decibel,,,,,
screamers,6,not provocatively,,,,4.0,,,
screamers,7,,,,,,,,
screamers,8,,,commendably brave|less focused|powerful,,,,0.2999999999999998,
screamers,9,,charismatic,scary|motivating,,,4.0,3.0,
screamers,10,,,surprising|true,,,,1.5,
screamers,11,,,limited|worthwhile,,,,-0.5,
screamers,12,,,rotting|severed|massacred|most horrifying,,,,-4.0,
screamers,13,,,rousing,,,,-6.0,
screamers,14,,,most bizarre,,,,,
screamers,15,,,,,,,,
screamers,16,,,invigorating|articulate,,,,-0.8,
screamers,17,,,most glaring|dull,,,,-2.0,
screamers,18,,,fervent|screed,,,,4.0,
screamers,19,,,committed,,,,-5.0,
screamers,20,,,hugely important,,,,6.0,
screamers,21,,,urgent|vitally important|stirring,,,,-4.0,
screamers,22,,,impassioned|intensely personal,,,,-7.199999999999999,
screamers,23,,,,,,,,
screamers,24,,,not good|decent|relevant,,,,0.26666666666666655,
screamers,25,,,,,,,,
screamers,26,,,impassioned|awkward,tough,,,-5.3999999999999995,-5.0
screamers,27,,,,hard,,,,-2.0
screamers,28,,,damning|wholly unsubstantiated,,,,1.2000000000000002,
screamers,29,,,volatile,effective,,,-2.0,4.0
top_gun,0,,,obvious,,,,-5.0,
priest,0,,,good|zip|underdeveloped|dire,,,,-1.6,
priest,1,,intriguing|so devoid,,,,-6.5,,
priest,2,,,surprisingly racist|semi-coherent|mindless|genocidal|derivative|tripe,,,,-3.0,
priest,3,,,,,,,,
priest,4,,,,,,,,
priest,5,,,one-dimensional|humourless,,,,-5.0,
priest,6,,,cool-looking|too dumb,,,,-7.0,
priest,7,,,eclectic,,,,5.0,
priest,8,,,nothing memorable,,,,-3.2,
priest,9,,,not painful,good|good,,,3.2,3.0
priest,10,,,shy,,,,-2.0,
priest,11,,,lousy|boring|convoluted|most unforgivable,,,,-1.6666666666666667,
priest,12,,,nothing memorable|nothing noteworthy,,,,-3.2,
priest,13,,,good|worth,,,,4.0,
priest,14,,,inconsequential|clich|painful|semi-interesting|squandered,,,,-3.3,
priest,15,,worst,ugly|new low,,,-5.0,-6.0,
priest,16,,great|very well,,nice,,4.75,,3.0
priest,17,,,slimy|undistinguished,,,,-5.6,
priest,18,,,,,,,,
priest,19,,,herky-jerky|bored,,,,-3.0,
priest,20,,,badass,,,,2.0,
priest,21,,,unholy,,,,,
priest,22,,,very loud|chaotic|lame|insufficient,,,,-3.7,
priest,23,,,effective|ridiculous|surprisingly compelling|superior,,,,2.7,
priest,24,,,dull|intolerable,,,,-2.2,
priest,25,,,shockingly underdeveloped,,,,,
priest,26,,,significantly less,,,,-3.2,
priest,27,,,,,,,,
priest,28,,,poorly conceived|pointless,,,,-6.0,
priest,29,,,,,,,,
priest,30,,,great-looking|lifeless,,,,-6.0,
priest,31,,,effective,,,,4.0,
priest,32,,,charmless|overbusy,,,,-4.0,
priest,33,,,bestial-looking,,,,,
priest,34,,,Creepy|pulpy|shamelessly derivative,,,,-6.0,
priest,35,,interesting,more subtle,,,-2.4000000000000004,,
priest,36,,,unoriginal,po-faced,,,,
priest,37,,,talky-talky|very little,,,,,
priest,38,,,how much better,,,,,
12_angry_men,0,,,near perfect,,,,3.2,
12_angry_men,1,solid,excellent|outstanding,spirited|realistic,,5.0,4.0,3.5,
12_angry_men,2,,,uncommon,slickly sophisticated,,,-3.2,
12_angry_men,3,,,fascinating|psychologically realistic,,,,5.0,
12_angry_men,4,,,,,,,,
12_angry_men,5,,,,,,,,
12_angry_men,6,,,deep,,,,-3.2,
12_angry_men,7,,,Thought-provoking|continually riveting|absolutely unforgettable|surprisingly|very simple,,,,4.566666666666666,
12_angry_men,8,,,good|evil|benevolent|best|greatest,,,,1.8,
12_angry_men,9,,,,notable,,,,4.0
12_angry_men,10,,,great|best|perfect,very easy,,,4.333333333333333,3.0
12_angry_men,11,,,sorely contemporary|urgently contemporary,,,,,
12_angry_men,12,,,,,,,,
12_angry_men,13,meticulous,,clammy,,3.0,,-2.0,
12_angry_men,14,,,surprisingly well,,,,3.5999999999999996,
12_angry_men,15,,distinct|damaged|interesting,,,,-3.5333333333333337,,
12_angry_men,16,,,strained|mightily,Too few,,,-0.5,
12_angry_men,17,,,almost completely banal|completely dynamic|incredibly nimble,,,,2.8266666666666667,
12_angry_men,18,,incredible,superb|unparalleled,,,-3.2,0.3999999999999999,
12_angry_men,19,,,riveting,,,,5.0,
12_angry_men,20,,,incisive|gripping,,,,-4.6,
12_angry_men,21,tense|sweaty|suspenseful|entertaining,,contrived,,-1.0,,-5.0,
12_angry_men,22,,,outstanding,,,,4.0,
12_angry_men,23,great,,brilliant|strength|power,,5.0,,4.0,
12_angry_men,24,,,shrewd|most proud,,,,4.0,
12_angry_men,25,,,taut|well-crafted,,,,-5.0,
12_angry_men,26,,,tremendous,,,,4.0,
12_angry_men,27,,,classic,,,,1.0,
12_angry_men,28,,memorable,Power house,,,4.0,,
12_angry_men,29,,,greater|much-desired|full,,,,4.5,
12_angry_men,30,,,mechanically|middlebrow,,,,4.0,
12_angry_men,31,,,strangely realistic,,,,,
12_angry_men,32,,superlative,brilliant,,,4.0,5.0,
12_angry_men,33,,,masterful|antagonistic,,,,-0.3999999999999999,
12_angry_men,34,,,great|suitable,,,,3.0,
12_angry_men,35,incrível,,imensurvel,,,,,
12_angry_men,36,,,much better,,,,,
12_angry_men,37,,,all right|powerful|provocative|spellbound,ungallant,,,0.6666666666666666,
12_angry_men,38,,,intense,favourite,,,-3.2,4.0
12_angry_men,39,,,a bit stagy|never short,,,,1.6,
12_angry_men,40,,,,,,,,
12_angry_men,41,,,pure dynamite,,,,,
12_angry_men,42,,,gripping|penetrating|engrossing,,,,0.6666666666666666,
12_angry_men,43,,,tautest,very good,,,-5.0,4.5
12_angry_men,44,,,timeless|classic,,,,2.5,
12_angry_men,45,energetic,,thoroughly engaging|nothing dated|corny|intensely knowing,,5.0,,2.4,
12_angry_men,46,,,high|undisputed,,,,-0.30000000000000004,
12_angry_men,47,,,bloated|classic,,,,-2.0,
12_angry_men,48,,,,,,,,
underworld,0,,,absorbing|spellbinding,,,,1.6,
underworld,1,,herculean|gory|raging,,,,-2.3333333333333335,,
underworld,2,,,best,,,,4.0,
underworld,3,great,,,,5.0,,,
underworld,4,,,luridly evocative,,,,,
underworld,5,,,,,,,,
underworld,6,richly ornamental|willful,,,,-3.0,,,
underworld,7,,,Gripping|superbly,,,,-1.0,
underworld,8,,,,,,,,
underworld,9,classical|modern|expressive|distinctive,,,,1.45,,,
underworld,10,,,,,,,,
underworld,11,,,,not ready,,,,-4.0
underworld,12,,,fascinating,,,,5.0,
underworld,13,better,competent,,,5.0,4.0,,
underworld,14,,,,,,,,
underworld,15,,,great|considerable,,,,3.5,
underworld,16,,,,,,,,
underworld,17,,,effective,,,,4.0,
"20,000_leagues_under_the_sea",0,,,,,,,,
"20,000_leagues_under_the_sea",1,,,definitive,,,,,
"20,000_leagues_under_the_sea",2,,,hallucinatory|visionary,,,,-0.5,
"20,000_leagues_under_the_sea",3,,less,good|better|wonder,,,-2.0,4.333333333333333,
"20,000_leagues_under_the_sea",4,,,,,,,,
"20,000_leagues_under_the_sea",5,,,classic,,,,1.0,
"20,000_leagues_under_the_sea",6,,hard-edged|dramatic|no winking|cartoonish|much darker,,,,0.7999999999999998,,
"20,000_leagues_under_the_sea",7,,,breathtaking|finest,,,,4.0,
"20,000_leagues_under_the_sea",8,,,Far superior|hardly dated,,,,,
"20,000_leagues_under_the_sea",9,,,very special|ingenuity|imaginative|daring,,,,-0.25,
"20,000_leagues_under_the_sea",10,,,Grandly entertaining,,,,,
"20,000_leagues_under_the_sea",11,,,best|greats,,,,4.5,
"20,000_leagues_under_the_sea",12,,,great|fully deserving,,,,5.0,
"20,000_leagues_under_the_sea",13,,,fabulous|fantastic,,,,3.5,
"20,000_leagues_under_the_sea",14,,,sublime,,,,5.0,
"20,000_leagues_under_the_sea",15,,,fun,,,,3.0,
"20,000_leagues_under_the_sea",16,,,talky,,,,-5.0,
"20,000_leagues_under_the_sea",17,,,,,,,,
"20,000_leagues_under_the_sea",18,,,great,,,,5.0,
"20,000_leagues_under_the_sea",19,,,,better,,,,5.0
"20,000_leagues_under_the_sea",20,,,finest,,,,,
"20,000_leagues_under_the_sea",21,,,superbly,best,,,4.0,4.0
dark_city,0,,virile|well-rounded|intelligent,,,,0.3999999999999999,,
dark_city,1,reliable,,unambitious|handsome,,5.0,,4.0,
dark_city,2,,,dark|excellent,,,,-0.5,
aliens,0,,,scaring|thrilling,,,,-0.5,
aliens,1,,,extremely ambitious|pretty sacred|most satisfying|fantastic,,,,5.6000000000000005,
aliens,2,,,unarguably|greatest,,,,5.0,
aliens,3,,,rather remarkable,,,,,
aliens,4,,,not dull|not homogenized,,,,-1.2,
aliens,5,,,finest|breathless,,,,,
aliens,6,,,more daring|intense|unrelenting|spectacular,,,,-0.5333333333333335,
aliens,7,,,greatest|faultlessly,,,,4.0,
aliens,8,,,astonishingly engaging|entertaining,,,,5.6,
aliens,9,,,simplified,,,,4.0,
aliens,10,,,smart,,,,4.0,
aliens,11,,,exciting|well-made|great|most appealing,,,,5.0,
aliens,12,,formidable,aggro,,,4.0,-4.8,
aliens,13,,merely terrific,,,,2.5,,
aliens,14,,,,so rare,,,,5.2
aliens,15,,,rarest|comfortably,,,,3.0,
aliens,16,,,timeless|cathartic,,,,3.5,
aliens,17,,,white-knuckled|best,,,,4.0,
aliens,18,,,fun|brash|delicious,,,,-1.2,
aliens,19,,,excellent,,,,4.0,
aliens,20,,,high energy|sophisticated,,,,4.0,
aliens,21,,,subtle|spooky|subtlety-bashing,,,,0.0,
aliens,22,,,unrelentingly|blast,,,,-3.7,
aliens,23,,,great|rare|effective,,,,4.333333333333333,
aliens,24,,,spectacular|state-of-the-art,,,,4.0,
aliens,25,Fortunately,defiant|sensual,,best,2.0,-0.3999999999999999,,4.0
aliens,26,,,scariest|dirtiest|perversely funny,,,,-3.5,
aliens,27,,,exciting,,,,,
aliens,28,,,best,,,,4.0,
aliens,29,,,outstanding,,,,4.0,
aliens,30,,,,,,,,
aliens,31,,,tautest|most provoking|most draining,,,,-5.0,
aliens,32,,,greatest,,,,5.0,
aliens,33,,,,,,,,
aliens,34,,,defining|stellar,almost as good,,,-0.3999999999999999,
aliens,35,,,fascinating,,,,5.0,
aliens,36,,,easily best,afraid,,,,-4.8
aliens,37,,,bigger|faster|scarier,,,,1.6666666666666667,
aliens,38,,,atmospheric,interesting,,,,-2.4000000000000004
aliens,39,considerably more nuanced|plot-driven,,,,,,,
aliens,40,,,,,,,,
aliens,41,,,scary|high-tech|superlative,better,,,4.0,5.0
aliens,42,memorably minimalist|eerily elegant,,exponentially bigger|scarier,,,,-4.0,
aliens,43,solid|muscular,,exciting|intense|mere mechanical,,4.5,,-3.2,
aliens,44,,,clé,,,,,
aliens,45,,,truly great,,,,6.5,
aliens,46,,,good,,,,3.0,
aliens,47,,,,,,,,
aliens,48,interesting,,,,-2.4000000000000004,,,
aliens,49,,,,actually scary,,,,
aliens,50,,,,,,,,
aliens,51,,nurturing,,,,5.0,,
aliens,52,,,wild|woolly,anxious,,,4.5,-2.4
aliens,53,,,hauntingly,,,,-6.0,
aliens,54,,,classic,,,,1.0,
aliens,55,,,turbo-charged|wild|electric|best,,,,4.333333333333333,
aliens,56,,,,,,,,
aliens,57,,,most intense|satisfying,,,,2.0,
aliens,58,,,flaming|flashing|crashing|crackling|conventional,,,,-2.0,
aliens,59,,,overlong,,,,-2.0,
aliens,60,,,,,,,,
